中文名稱	Jira名稱	Jira連結
戰神呂布	RSG.Web.Slot.LegendOfLuBu	https://auforce.atlassian.net/browse/LEG
狗來富	RSG.Web.Slot.LuckyDog	https://auforce.atlassian.net/browse/LCKDG
侏羅紀寶藏	RSG.Web.Slot.JurassicTreasure	https://auforce.atlassian.net/browse/RSGJT
迦羅寶石4	RSG.Web.Slot.FortuneGems4	https://auforce.atlassian.net/browse/RWSF
逛夜市3	RSG.Web.Slot.NightMarket3	https://auforce.atlassian.net/browse/RWSN
大過年3	RSG.Web.Slot.ChineseNewYear3	https://auforce.atlassian.net/browse/RWSC
超級王牌2	RSG.Web.Slot.SuperAce2	https://auforce.atlassian.net/browse/RWSS
雷神之錘2	RSG.Web.Slot.Power of Thor Thunder Storm	https://auforce.atlassian.net/browse/RSGPOW2
賞金獵人	RSG.Web.Slot.BountyHunter	https://auforce.atlassian.net/browse/RSGBH
皇家金象	RSG.Web.Slot.RoyalGanesha	https://auforce.atlassian.net/browse/RSGRG
能量外星人	RSG.Web.Cascading.EnergyCombo	https://auforce.atlassian.net/browse/EN
極速巔峰	RSG.Web.Slot.Racing Master	https://auforce.atlassian.net/jira/software/c/projects/RSGRM/issues
沙皇對決	RSG.Web.Slot.Tsar Showdown	https://auforce.atlassian.net/jira/software/c/projects/RSGTS/issues
trumpo	RSG.Web.Slot.Trumpo	https://auforce.atlassian.net/browse/TRUM
現代戰爭	RSG.Web.Slot.ModernWar	https://auforce.atlassian.net/browse/MOD
亞特蘭提斯	RSG.Web.Slot.Atlantis	https://auforce.atlassian.net/browse/AT
colorcircle	RSG.Web.Slot.ColorCircle	https://auforce.atlassian.net/browse/COL
Ninjaboy	RSG.Web.Slot.NinjaBoy	https://auforce.atlassian.net/browse/NN
諸神之戰：雷神VS戰神	RSG.Web.Slot.GodOfWarsThorVsSeth	https://auforce.atlassian.net/browse/RSGGOW
奢華	RSG.Web.Slot.TheLuxe	https://auforce.atlassian.net/browse/RSGLUXE
決戰賽特2：全面覺醒	RSG.Web.Slot.BattleOfSet2Awakening	https://auforce.atlassian.net/browse/RSGBOS2
黑金風暴	RSG.Web.Slot.DeluxeStorm	https://auforce.atlassian.net/browse/RSGDS
戰神賽特2：覺醒之力	RSG.Web.Slot.StormOfSeth2Awakening	https://auforce.atlassian.net/browse/RSGSOS2A
八爪天下海霸王	RSG.Web.Fish.OceanEmperor	https://auforce.atlassian.net/browse/OC
福娃捕魚	RSG.Web.Fish.FuwaFishing	https://auforce.atlassian.net/browse/FW
皇冠5PK	RSG.Web.Poker.Crown5PK	https://auforce.atlassian.net/browse/RWPC
